;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
351;413337;229819;106528;1354;185356;51467;241014;82189
352;99463;190599;25586;304584;48429;6296;109187;177531
353;89719;332103;205760;154781;63535;39258;1012525;389890
354;243947;465850;159089;70110;155597;38739;45248;209939
355;162611;45275;169951;4222;164983;39802;24047;272645
356;283013;9288;10963;12823;68174;93929;99400;1143081
357;136195;120646;14508;49445;185865;8374;28228;163392
358;142078;6672;3569;60233;311174;106672;415705;729125
359;33661;54825;3070;53173;18676;125825;756013;1695945
360;354765;127122;34717;14617;181497;376989;250992;461019
361;40307;31417;187168;12744;246753;197765;491267;322426
362;347352;21354;102482;21755;169128;69642;612292;142775
363;22595;30631;17321;165610;18592;97210;166138;1269341
364;83639;1877;75300;46798;2766;85195;164218;680711
365;23128;168752;162242;395157;58625;47422;192519;59514
366;97057;88001;56128;105944;82654;221424;531321;262257
367;49741;64773;18181;140624;43781;232488;349315;1732766
368;564648;747235;281086;101878;140962;128941;76503;196208
369;62438;23009;75182;20978;1895;10349;222994;816818
370;214388;1099884;86119;208799;26854;97932;692304;667900
371;45496;17334;105257;6162;84982;87046;141784;170339
372;366453;16261;187500;93952;384555;47691;70631;140681
373;239867;23218;15647;233196;14550;343941;1376981;455409
374;5260;26619;41665;46005;16808;4941;147008;203974
375;28039;59634;230073;80398;1176;659573;316705;3268350
376;64980;57240;113143;143870;14736;28405;103587;256907
377;39046;33623;96145;77944;145023;78826;242041;257033
378;144599;316884;22301;225104;116236;32573;64499;2116088
379;311038;220771;63038;48708;11509;78801;57269;30873
380;132645;139202;510272;18081;36290;175797;342440;368844
381;6055;92264;16411;144703;60435;6459;491420;1358785
382;115389;55341;67183;52581;79845;33828;156447;294462
383;26627;254712;5747;64118;15756;8200;80605;72498
384;608316;219158;680565;159262;7280;379212;91863;4239816
385;195823;64657;13989;78142;149532;241974;169630;18018
386;97182;12364;11912;13816;20178;54302;189754;943805
387;958904;279919;219172;9004;43966;299412;133336;126203
388;47431;199895;60205;269659;164501;786;422750;71882
389;53117;3609;114623;18111;238052;32151;461751;639001
390;124640;34080;22964;1698;59478;306683;469452;861136
391;43967;7353;97631;55348;11010;107580;260139;192344
392;3008;369827;4038;11361;15229;37790;166056;348682
393;131510;278865;35635;6168;7689;132583;282600;490448
394;283769;28387;287691;15744;278499;468033;375717;653750
395;197299;73093;4126;41331;260742;167672;14378;806249
396;711776;67302;54874;117867;1342;29699;505717;693049
397;11786;37750;32023;205259;87356;406755;19186;333379
398;10761;47496;116055;14441;145008;281396;520311;1918483
399;188722;123130;52935;379280;124381;14337;188496;107164
400;4476;4595;16113;20898;5963;127104;180819;143240
401;104578;185240;16111;32369;223900;106490;89969;615016
402;93065;41421;48552;127190;45088;126357;20581;740951
403;60993;124802;113400;65846;173100;114612;21796;23873
404;29862;222594;81817;468672;3632;60706;273298;273867
405;200878;58302;12611;30316;32742;47017;4341;188703
406;55002;177206;4266;22686;67386;361493;129366;272846
407;133105;57984;135708;14054;32669;106067;14952;22928
408;4573;14002;78949;12599;67311;104184;694268;568715
409;178657;99822;116634;32445;6039;79511;153563;169144
410;7489;30235;11057;43468;51117;114666;441865;200868
411;38661;21859;31693;64187;31130;47558;672443;266241
412;132101;11785;27078;37897;54521;26389;42694;702798
413;281146;8235;24437;478648;66163;62260;217514;1122945
414;85961;67156;139987;48194;27612;26506;52084;157
415;87106;101662;130241;56406;9225;74163;196223;322617
416;29289;232235;233356;100129;196656;272132;166384;255186
417;1255104;421769;76104;2036;99465;35746;281618;584141
