;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
577;73097;14560;193818;9820;134719;29359;103885
578;fail;127257;1408;81771;63710;6929;968
579;62108;103777;54468;59427;21266;90072;144679
580;fail;16106;77347;52794;134010;37585;70311
581;fail;9313;10321;35010;23376;58183;5512
582;fail;94718;26255;14762;121539;12628;161349
583;11411;29525;80641;51792;386;37339;36013
584;fail;8927;47914;239832;130775;13371;161529
585;fail;359620;142678;76605;6995;131257;24679
586;fail;29764;46235;177819;30334;51924;19274
587;7372;1563;55877;31800;3590;51724;40198
588;fail;30776;4733;18405;690594;381291;59556
589;29298;3389;221697;314166;56697;33762;54196
590;fail;54868;58919;28440;268776;192069;32129
591;29313;120885;364873;23161;409082;71234;371959
592;9435;20861;56119;8605;46817;21597;22750
593;2821;329693;114765;18201;212250;24719;165065
594;fail;44200;29651;151617;68261;130770;25079
595;13918;190325;17013;151396;16439;21141;213751
596;fail;75930;188611;57092;159544;947223;28690
597;fail;5510;22549;18430;180852;98485;189541
