;RLS-N2;EA4;pmut2.0
993;3478;63577;238441
994;51930;584639;36459
995;73697;252714;55127
996;32498;10694;253831
997;39410;155191;21782
998;6994;46997;62934
999;60241;6780;83395
1000;279714;193045;123642
1001;50151;54694;58025
1002;185414;129147;146879
1003;16322;239820;20213
1004;265137;164972;25157
1005;19171;6300;170367
1006;88737;227772;270167
1007;546695;101422;74954
1008;43747;133076;11929
1009;7330;128;113040
1010;447989;293393;4448
1011;60743;4884;30347
1012;151874;64367;466996
1013;51066;48279;11392
1014;17953;37924;3794
1015;144383;10560;8670
1016;96802;334903;8119
1017;890;22708;8327
1018;27190;264005;6069
1019;68233;39612;95623
1020;50746;35253;31772
1021;223259;268100;30655
1022;16254;10920;130508
1023;14533;3550;38185
1024;25759;27028;584956
1025;60182;137736;83229
1026;193888;7832;110855
1027;126646;50449;240598
1028;316442;10338;287831
1029;30286;47939;104511
1030;685666;73949;31642
1031;43939;39371;4699
1032;377536;79483;6939
1033;219625;7913;95659
1034;117080;239804;600853
1035;15492;46317;55570
1036;41497;6943;16189
1037;61994;105554;42738
1038;19427;51983;34757
1039;142836;115642;39861
1040;15254;112267;19655
1041;101947;74445;85442
1042;39335;289252;505867
1043;90681;230059;16129
1044;42962;129384;112114
1045;111492;97220;18861
1046;92575;9477;33210
1047;4819;123107;147259
1048;3311;136795;9238
1049;37007;222266;300773
1050;192370;21187;151384
1051;12689;6242;101210
1052;116028;127821;42977
1053;19899;66563;53256
1054;87089;116557;17341
1055;17367;8782;4235
1056;26423;199457;8529
1057;47859;10676;124933
1058;73384;13371;47731
1059;86481;363970;132039
1060;32429;39084;87638
1061;55223;39707;34330
1062;119338;186267;270042
1063;31146;48302;84183
1064;139794;61579;29913
1065;118990;243134;437741
1066;28862;96725;133287
1067;56555;368853;225300
1068;153743;470181;947529
1069;110056;24515;107912
1070;82338;26126;8759
1071;5876;8301;85159
1072;12269;232391;23333
1073;7115;128239;42270
1074;2756;166465;26280
1075;25357;460993;79592
1076;6510;80564;6934
1077;7242;86827;181998
1078;32761;50673;99552
1079;62177;42057;36225
1080;89835;14500;46977
1081;196112;120436;87171
1082;114230;500;151215
1083;338890;26537;143126
1084;163096;10812;13306
1085;21963;264501;13422
1086;80881;66933;327354
1087;115961;102205;257294
1088;137785;232161;98126
1089;5117;161831;40209
1090;314792;94319;44090
1091;136575;169530;9874
1092;23318;105683;193606
1093;8180;167318;351691
1094;272869;72254;70171
1095;11524;1201;30380
1096;39932;151797;278875
1097;21776;30507;1004104
1098;62383;98576;217160
1099;11254;52601;79286
1100;238914;99897;41034
1101;17240;9043;160432
1102;17329;113960;88592
1103;41788;20931;240304
1104;22838;153508;212324
1105;8216;167410;70682
1106;49794;28004;21048
1107;78665;14434;38165
1108;65429;79077;49761
1109;26946;70329;55448
1110;7041;168097;19133
1111;72631;97172;45708
1112;47666;342673;30960
1113;9583;7947;62762
1114;83473;86294;11674
1115;14203;25419;40441
1116;11222;24269;68828
1117;60660;103589;285
1118;48210;60819;146778
1119;17646;84777;44048
1120;39649;2897;14334
1121;31622;140973;27013
1122;15234;243550;87228
1123;23481;2014;33853
1124;64286;40057;42965
1125;2992;21830;104547
1126;114078;106176;34020
1127;25520;53229;198466
1128;18168;41525;432255
1129;30591;4851;7611
1130;56383;23197;10354
1131;11221;21368;15566
1132;57758;25871;13564
1133;71114;37587;18867
1134;419122;9316;26442
1135;24396;116491;107783
1136;35488;6825;2481
1137;36087;30889;7950
1138;45837;57506;239913
1139;3402;176062;45590
1140;37369;305171;130394
1141;1639;67390;44340
1142;13876;4036;2013
1143;60212;75964;21739
1144;124214;2392;167334
1145;96348;66723;92858
1146;17966;110358;44321
1147;13547;97799;294629
1148;335181;281472;45808
1149;27371;174046;54984
1150;68576;83008;91856
1151;16925;168667;46513
1152;82924;4355;303873
1153;11844;748;93202
1154;4154;13518;47478
1155;10570;612735;79334
1156;115352;13790;64232
1157;1482;35706;849374
1158;7236;218444;15191
1159;96647;48522;912407
1160;35220;53027;2040
1161;1384;36853;183443
1162;27783;234174;37633
1163;110190;578579;116467
1164;22088;7565;6438
1165;84406;182624;59477
1166;14724;1433;80868
1167;50591;72610;3561
1168;117476;420798;74515
1169;78756;28805;135534
1170;46601;21937;101258
1171;92935;56135;138420
1172;174825;81508;93917
1173;12182;22613;137260
1174;19067;150610;64037
1175;13100;116829;40715
1176;46057;188834;132092
1177;29391;199659;537103
1178;136332;7483;12244
1179;39063;80134;1164
1180;118609;170988;40011
1181;24407;36401;6638
1182;23098;97278;324
1183;119968;43117;109124
1184;208161;54093;38994
1185;144987;96651;9890
1186;81961;252281;116671
1187;271407;240747;43996
1188;951;28275;119279
1189;40058;134675;69644
1190;67188;111775;4922
1191;37360;27892;40719
1192;29921;16334;21509
1193;141326;118526;40361
1194;4103;190232;523248
1195;1470;210356;64296
1196;10212;116088;22740
1197;151659;88727;81153
1198;161795;32927;9642
1199;17625;96274;9086
1200;38105;4917;338901
1201;220938;25172;17445
1202;35743;18361;31700
1203;20337;6035;268668
1204;105828;264777;82499
1205;54906;39952;45800
1206;79414;18653;185945
1207;45095;191578;172178
1208;150105;294052;9413
1209;31340;15684;58276
1210;71570;137315;16591
1211;538495;323;40078
1212;35272;16510;876
1213;319264;18431;43824
1214;51342;18243;172433
1215;58642;37433;49723
1216;359884;23802;241698
1217;2990;14457;2576
1218;69171;243299;8364
1219;22250;16817;22204
1220;110342;61467;45948
1221;117518;70259;103627
1222;12785;11599;13021
1223;708227;405160;118741
1224;31823;590814;19589
1225;40274;211730;39723
1226;1188;176230;13828
1227;26072;407489;295617
1228;70658;12212;4505
1229;154262;166915;384144
1230;17947;129166;236601
1231;150387;59003;107860
1232;93725;176;12657
1233;119122;45901;14088
1234;139122;14549;84907
1235;9823;44281;96725
1236;11162;81346;219974
1237;37977;2930;13748
1238;57261;47621;30596
1239;10118;44370;348
1240;314602;9746;129774
1241;32272;3913;19497
1242;167671;46823;18495
1243;6954;5958;19419
1244;95717;126901;325090
