;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
430;2476;748;1215;575;1148;505;577;147;276
431;2806;801;1477;763;548;480;904;591;755
432;2133;885;2552;799;75;764;797;190;443
433;4847;1403;681;1043;872;928;501;718;589
434;2629;710;494;649;170;306;693;252;358
435;3862;764;1006;362;2251;654;486;506;258
436;649;767;1261;1390;568;768;693;327;359
437;2209;453;327;253;704;273;442;114;816
438;2638;1196;746;246;843;618;168;866;408
439;769;1583;621;618;630;391;633;240;1086
440;57;675;934;210;590;384;155;728;770
441;2586;327;1656;868;1291;447;128;328;701
442;1265;2203;468;526;358;1373;405;320;594
443;3416;881;534;475;857;602;458;1162;881
444;792;645;812;621;310;1239;810;564;685
445;1334;640;704;334;307;544;857;189;538
446;1255;884;1671;763;1363;305;404;1165;679
447;3474;239;1222;1070;783;262;375;1756;741
448;1349;1294;1359;1202;204;364;1325;1067;356
449;2372;1204;1132;380;638;184;495;120;696
450;1985;2527;572;491;985;824;562;399;537
451;3697;1006;1128;1535;908;822;688;379;599
452;1789;1377;1195;867;959;1191;877;388;197
453;1609;1125;464;482;367;627;571;455;521
454;3664;2496;2108;563;829;420;663;554;619
455;2471;342;1033;1009;931;356;1045;729;656
456;869;548;2157;1133;1474;823;1117;569;243
457;3191;2223;701;3154;500;540;1034;446;684
458;190;344;362;299;285;322;501;959;589
459;8137;290;736;504;491;333;849;202;63
460;4718;1034;1210;278;834;329;150;341;158
461;3771;856;548;739;254;398;266;613;572
462;4163;389;1040;203;999;679;880;416;513
463;5495;1466;639;640;705;762;489;1262;949
464;2042;1624;1392;956;439;781;367;532;587
465;919;1446;454;741;219;676;424;538;308
466;2445;526;783;1053;287;257;1225;974;231
467;1565;832;1672;1161;1827;243;381;482;288
468;590;556;647;616;1199;726;1055;278;784
469;1179;972;491;823;271;279;950;573;640
470;2013;1094;1036;1149;484;314;333;578;569
471;7297;1258;1377;489;810;947;233;928;1190
472;1342;1042;1361;616;563;381;457;423;160
473;652;832;865;401;551;299;830;273;614
474;2412;1580;1325;1147;860;971;566;935;811
475;2650;3447;683;884;319;221;278;327;521
476;1156;1045;1984;964;389;817;800;956;106
477;1085;2207;1100;796;484;1290;428;336;580
478;1961;1115;355;851;693;347;1208;1026;636
479;3538;358;1919;1545;1231;518;789;1762;497
480;804;1134;2102;1589;361;188;1248;656;819
481;802;1187;226;755;695;359;642;311;474
482;1076;1759;906;833;2357;593;455;1503;697
483;5359;656;497;1673;330;1009;276;1083;371
484;1481;1197;1812;755;1431;759;848;362;685
485;1218;587;175;1020;459;762;449;445;690
486;1404;671;586;589;1358;754;597;263;424
487;1655;1512;1018;689;1584;450;749;271;353
488;1961;3731;1407;1006;173;238;742;675;830
489;645;2278;606;946;431;600;549;703;365
490;3342;577;1109;249;391;437;257;374;834
491;1362;443;1014;888;1107;554;648;1242;605
492;2123;81;715;1502;495;562;940;433;213
493;1614;627;233;961;1656;531;540;352;429
494;2195;2038;549;236;733;605;544;869;421
495;1142;991;882;329;441;547;369;382;621
496;1250;386;2075;978;709;543;275;522;293
497;1236;1765;970;1593;627;692;992;1016;276
498;1403;2012;423;1189;69;420;811;191;208
499;1742;910;696;376;989;401;224;604;915
500;1294;534;807;464;969;519;249;602;615
501;946;779;467;532;449;561;611;440;522
502;1049;2707;419;763;1801;416;315;745;348
503;614;913;873;952;207;468;592;356;470
504;1168;1612;801;1619;603;877;470;386;552
505;444;362;937;509;454;272;619;678;561
506;506;922;1108;225;370;315;839;831;250
507;1436;1638;2135;2292;490;646;628;339;420
508;1689;119;567;398;451;639;182;1115;491
509;371;619;758;824;445;240;421;345;343
510;1977;1315;3048;1464;915;533;306;397;754
511;1082;383;1377;517;639;748;393;354;1098
512;1595;2995;1206;468;1159;619;570;1043;948
513;3197;875;1505;558;487;698;623;451;535
514;1145;1031;958;1866;802;871;782;1122;292
