id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
1480;10;500000;0,10;1000;0;121;4;188;0,188
1481;10;50;0,20;1000;0;1;0;994;0,994
1482;10;100;0,20;1000;0;1;0;993;0,993
1483;10;150;0,20;1000;0;2;0;985;0,985
1484;10;200;0,20;1000;0;2;0;987;0,987
1485;10;250;0,20;1000;0;2;0;985;0,985
1486;10;500;0,20;1000;0;2;0;963;0,963
1487;10;1000;0,20;1000;0;5;0;928;0,928
1488;10;2500;0,20;1000;0;3;0;863;0,863
1489;10;5000;0,20;1000;0;14;0;775;0,775
1490;10;10000;0,20;1000;0;21;0;667;0,667
1491;10;25000;0,20;1000;0;36;0;514;0,514
1492;10;50000;0,20;1000;0;26;1;411;0,411
1493;10;250000;0,20;1000;0;172;3;208;0,208
1494;10;33;0,30;1000;0;1;0;999;0,999
1495;10;66;0,30;1000;0;2;0;994;0,994
1496;10;100;0,30;1000;0;2;0;991;0,991
1497;10;133;0,30;1000;0;2;0;985;0,985
1498;10;166;0,30;1000;0;1;0;982;0,982
1499;10;333;0,30;1000;0;2;0;970;0,970
1500;10;666;0,30;1000;0;9;0;929;0,929
1501;10;1666;0,30;1000;0;7;0;853;0,853
1502;10;3333;0,30;1000;0;11;0;766;0,766
1503;10;6666;0,30;1000;0;27;0;671;0,671
1504;10;16666;0,30;1000;0;22;0;527;0,527
1505;10;33333;0,30;1000;0;21;1;407;0,407
1506;10;166666;0,30;1000;0;94;3;209;0,209
1507;10;25;0,40;1000;0;1;0;997;0,997
1508;10;50;0,40;1000;0;1;0;996;0,996
1509;10;75;0,40;1000;0;2;0;988;0,988
1510;10;100;0,40;1000;0;2;0;985;0,985
1511;10;125;0,40;1000;0;2;0;985;0,985
1512;10;250;0,40;1000;0;2;0;971;0,971
1513;10;500;0,40;1000;0;5;0;957;0,957
1514;10;1250;0,40;1000;0;5;0;871;0,871
1515;10;2500;0,40;1000;0;8;0;805;0,805
1516;10;5000;0,40;1000;0;20;0;713;0,713
1517;10;12500;0,40;1000;0;22;0;549;0,549
1518;10;25000;0,40;1000;0;26;1;480;0,480
1519;10;125000;0,40;1000;0;47;3;235;0,235
1520;10;20;0,50;1000;0;1;0;996;0,996
1521;10;40;0,50;1000;0;1;0;993;0,993
