;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
250;640334;112790;343559;23371;98374;88094;203740;11328;169966
251;312246;114368;50475;34862;253182;12262;39742;69600;374562
252;38711;198128;135906;131675;56260;206544;10773;154818;196661
253;98985;257425;495658;71595;120466;161064;27529;163766;122598
254;483964;65189;309708;377597;519585;185585;43684;222042;88507
255;491996;57393;18594;140551;238169;103380;75483;30492;81622
256;449564;20376;340128;46854;60432;39763;339371;35548;153576
257;86833;249776;25101;230247;143487;462969;107010;63177;419709
258;333576;145352;431974;285243;127137;62277;306522;147033;fail
259;35304;9159;82802;201680;211086;12630;29652;25919;9529
260;137826;161869;34547;169184;268931;106031;65243;490108;52021
261;279004;162690;160736;473724;61239;15970;233186;203290;18504
262;18439;77384;88897;154641;16648;40791;2643;3611;61266
263;45773;49450;67659;43810;5337;30633;306420;110401;346973
264;746313;138943;131920;98876;44439;20971;54584;15443;51935
265;167315;139614;25554;5815;563601;38518;36185;45520;6464
266;161378;119365;66481;fail;481354;46466;42833;216812;27604
267;201621;335021;168228;119539;100594;278616;159108;340623;209804
268;180610;23368;252752;75843;585334;200511;123760;116113;231577
269;145013;873;16454;144310;118545;134499;154372;19852;91986
270;55175;285004;9537;101376;24385;334058;231596;79121;51144
271;329080;166604;82347;356459;750285;343014;47048;136825;fail
272;207262;494232;585205;54354;148799;329873;38616;308590;528723
273;86536;30248;71462;202680;47654;132061;205623;51943;209379
274;68808;128922;51242;60957;36763;113230;110183;73594;270026
275;201839;207450;451113;260341;176694;7241;105449;101001;146127
276;154281;64573;252137;465681;347978;16738;89189;150415;413402
277;41861;96696;67263;120043;77677;70897;58019;543385;9257
278;335630;361926;347258;79978;68649;219343;380749;217781;53697
279;188045;94116;55313;129480;226070;80338;378;47388;85439
280;122750;128685;1228;1506;2274;19514;49890;9604;367904
281;540732;190435;138900;2816;388998;317287;122593;208098;700836
282;208538;4674;34378;218646;28973;114682;78060;3595;52893
283;84814;fail;14414;46985;805195;42916;646540;254617;8084
284;222702;54004;11364;200781;373795;82841;107086;4794;293306
285;363578;8332;142185;128950;578300;147237;99964;209746;25121
286;519969;312126;68692;67806;1905;801217;738112;135877;52455
287;5316;202294;83614;237567;135094;107866;209113;2683;183353
288;83995;8340;37279;193651;190963;51855;14946;7503;64636
289;106441;314027;26300;23562;223381;129985;136780;248265;109277
290;12869;257152;45430;126682;22685;28085;224753;188262;43817
291;118188;274807;49184;33509;165655;185262;64115;71438;17187
292;106509;55888;182407;208711;40876;81594;289043;77388;97456
293;121439;446431;658689;300275;60626;45090;105185;321247;23640
294;529856;25145;437692;450672;31242;275574;368671;299653;37035
295;481190;109630;477492;205075;291818;87277;535609;506932;140648
296;69990;359875;21442;11097;77208;138398;256509;14918;131719
297;4384;343632;27967;83539;59908;34442;24447;90467;122717
298;348555;25735;188960;fail;319435;140041;216170;136053;165531
299;108555;68244;138030;168803;29795;613979;529268;23597;322126
300;438419;524595;36961;138935;51163;526371;291700;90274;342427
301;332479;169796;153545;232776;128938;18194;208248;135536;48049
302;42843;292005;149169;124906;62466;193976;21378;3764;68629
303;27654;41392;73453;137704;34967;208411;257720;180116;84233
304;fail;159431;117419;100790;274323;50649;201495;56001;104292
305;313937;25053;269555;527038;137701;235956;553281;415219;65875
