;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
543;2375;3066;761;972;5231;650;12795;25800
544;146;17903;1153;5428;971;6283;2269;23771
545;2621;1380;4122;1087;1907;11651;21687;87897
546;520;728;2126;6927;10231;29166;15997;33166
547;3353;3274;7005;4073;2526;1005;1652;23816
548;457;2059;1348;14130;119;847;9315;7653
549;2591;2170;313;1311;2555;5686;28111;1336
550;2287;3852;346;528;501;446;9079;7528
551;966;1786;3321;2935;4625;15486;28734;40884
552;4262;4248;24938;373;682;7272;1841;40603
553;2485;2371;2981;2331;1142;3498;1789;47815
554;6055;17124;4571;4571;3773;21753;30847;50184
555;1408;2037;1207;2997;2481;1120;35285;16755
556;923;3128;1375;10718;20071;22585;35007;22022
557;11367;2066;3069;2612;3171;14729;20586;52564
558;965;1662;1300;7677;3347;9441;30898;17846
559;1406;5436;1002;1252;10847;22290;16310;1959
560;12228;958;4096;394;6064;25120;12269;1063
561;1108;2286;7972;2562;1109;1441;5874;35254
