;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
568;314;2893;1176;6014;2489;3727;5942
569;265;9271;5778;5713;918;670;885
570;103;1321;10159;2944;877;5503;6795
571;967;1866;4030;515;312;6690;2370
572;1914;1280;5950;1581;1040;247;223
573;1125;581;5331;12952;314;395;1076
574;1966;394;2460;596;1286;1563;211
575;1033;6440;588;7602;328;1706;1093
576;1464;4109;2813;12173;221;2056;442
577;3432;18586;1385;5965;1074;632;8085
578;324;1207;728;1160;3278;5338;93
579;7914;1373;2838;10440;6818;16514;332
580;419;778;3818;1882;2617;207;2334
581;564;7679;4328;1351;493;360;649
582;136;721;4908;685;403;1042;900
583;412;6457;628;6399;2812;2856;809
584;1138;286;4728;11653;4973;1973;1785
585;1347;545;3635;3640;2687;8863;3651
586;407;2326;1945;1947;7167;5848;8436
587;1764;1344;919;73;3583;635;3201
588;114;2450;1138;4234;751;628;2467
589;1578;3155;5301;8734;934;1247;13594
590;164;2318;2638;5647;36;1501;442
591;474;2388;2670;1515;636;1618;296
592;3418;1829;4059;3977;206;680;627
593;162;3414;5548;2490;3084;328;6559
594;1642;676;2080;5250;2917;912;2323
595;829;3781;2231;3917;4346;544;2944
596;127;1977;1067;5326;4038;873;1942
597;1715;3329;1100;2527;937;4577;122
598;1407;1656;18018;714;2749;3061;8227
599;658;1491;5415;1380;170;1482;221
600;10487;1636;2671;3636;2340;4929;667
601;1092;1779;11559;2090;424;2503;2754
602;986;2023;599;4375;738;772;2217
603;353;844;1875;1470;599;217;950
604;1416;1305;1996;1521;2895;2453;1900
605;5514;8174;701;23533;1954;4656;9440
606;455;1609;2373;3197;427;132;477
607;272;3209;1122;1640;1864;405;28
608;98;799;983;4170;646;445;4466
609;1959;4055;9063;6613;2069;10219;3596
610;170;7013;11277;3587;922;3814;463
611;3133;1122;3256;19147;590;1793;206
612;2751;1936;5423;6655;4406;499;1525
613;425;2859;442;301;402;2628;178
614;1376;2316;4650;3595;1208;1293;403
615;2327;2477;1421;9499;320;1434;2486
616;2785;4363;3675;564;289;518;2710
617;8078;5979;578;11193;2181;252;3559
618;3082;1122;6511;22997;3891;1193;2714
619;5019;608;3689;3843;480;211;1399
620;5468;653;63;960;520;1509;2343
621;3104;4497;255;12965;244;191;3187
622;1352;1782;1188;2250;3072;503;487
623;470;280;4012;2987;389;1563;2750
624;929;658;544;1337;1513;3603;414
625;2519;169;8633;8463;783;4425;1523
626;311;2978;4597;8654;1385;5501;1981
627;3417;1546;1407;215;147;3898;122
628;813;419;1168;9727;3227;77;11133
629;271;9342;18878;394;1226;3537;6864
630;678;1272;283;2151;1615;347;3914
631;282;8671;2405;3380;2811;1504;987
632;288;5419;103;942;763;822;2702
633;2780;4635;797;2638;5274;4491;5053
634;3220;611;861;5847;3681;2535;767
635;2957;474;461;411;13621;4091;2313
636;11;3820;1677;5646;914;1552;676
637;397;1437;1879;1969;2337;2218;4097
638;5039;644;3828;2952;1358;392;1143
639;183;189;2856;1513;3932;363;1162
640;1577;7780;369;2621;731;799;4752
641;2017;807;2310;425;590;1916;454
642;2069;1749;275;1605;663;2271;4604
643;511;683;2052;10402;14134;16636;7246
644;1075;17266;3835;996;182;2916;4387
645;3881;908;1033;5607;5502;3035;5772
646;601;3920;4340;22254;1960;6829;8623
647;3336;1458;607;1584;838;1286;3921
648;1216;4492;1222;4817;3014;4572;9350
649;3235;2108;4193;9393;620;572;417
650;2342;6060;5408;1761;353;9752;4505
651;1544;680;315;1697;1886;2945;678
652;382;9245;616;8363;1632;1430;1060
653;598;2703;860;1494;2739;697;1592
654;1920;14351;2117;588;493;368;1996
655;595;2086;684;1343;177;3785;3631
656;1225;484;8719;8985;705;3561;3390
657;978;2051;2185;2260;205;2596;308
