;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
81;fail;fail;33;63150;80164;55787;fail;fail;1723;6284;2015;4754;fail;339;114;4050;1888;2946;655;199;126;6146;585;1731;419;2783;6978;969;6149;2582;257;625;2498;558;766;1651;1251;2040;539;2200;238;2328;1903;1873;2563;1683;1955;920
82;fail;fail;1683;9286;fail;18142;fail;fail;3783;6399;3018;2115;fail;1463;1684;24894;185;4049;1776;9207;1041;2692;9661;5044;940;2877;6950;1056;4900;474;fail;1126;7360;612;565;17953;871;922;869;5575;1007;1153;1442;357;1100;1367;7136;2189
83;fail;fail;fail;38978;92290;fail;fail;fail;73681;47352;58760;842;96;12832;4122;2171;4086;1254;141;16553;3801;93;189;11;fail;5511;2090;2608;430;82;2267;746;5279;13767;329;2099;1918;4518;6210;2917;3212;4215;2032;1127;2978;407;443;1587
84;fail;264;fail;4873;2326;24921;fail;26;2047;9222;1473;1964;fail;1018;13017;996;38625;1773;fail;6816;1445;31315;3917;9562;fail;1844;2558;3451;7477;350;207;1965;1464;616;5012;2353;574;565;6251;2920;4304;715;1340;3865;2014;2298;13836;1064
85;fail;fail;4142;fail;58932;2958;fail;fail;73006;3677;27975;3605;fail;1790;19746;1975;13829;22997;918;1652;14102;11202;1440;25414;818;558;6680;7499;514;1705;2842;84;1704;7763;170;533;531;493;679;5704;825;1326;2284;1563;898;4998;3178;1265
86;fail;fail;fail;9692;14355;25984;fail;5178;1627;3088;18343;21;fail;941;10347;34908;18750;31861;fail;5957;1048;2358;23482;9696;fail;1473;23871;34;1513;15053;990;2857;1635;1374;1313;1362;889;1599;3444;3476;2330;481;1068;1785;7376;221;647;4427
87;fail;fail;fail;fail;fail;25894;fail;fail;6491;10013;4848;17320;fail;123;46441;1706;6619;28252;fail;1639;7712;985;11248;2959;2072;244;19193;1546;337;4589;1434;1712;5869;1574;1952;582;1003;540;494;2167;133;724;2013;3137;116;2138;775;2267
88;fail;fail;fail;649;27948;4032;fail;617;70560;53;9157;19160;fail;1481;125;1252;18093;7512;fail;3329;974;4681;4188;7206;1658;2100;1942;89;478;55;1220;1583;2335;1611;342;634;1949;6711;274;1422;2206;969;2731;4015;1509;537;2173;1346
89;fail;90;fail;2462;5414;8017;fail;fail;fail;6145;3648;68218;fail;fail;fail;5057;1356;7927;273;396;3682;247;3001;699;fail;5260;3932;117;440;1875;536;2077;4607;3758;591;1262;15314;1613;2964;9140;853;1589;364;1466;3349;1793;131;1970
90;33;fail;fail;31779;11615;34214;fail;fail;1989;4587;44623;34606;fail;835;12227;8364;6593;9281;fail;6742;18348;822;7893;115;761;2241;10448;1200;1301;64;2173;5637;377;3192;1021;741;5226;2418;958;163;739;442;763;1816;4519;1079;1472;6336
91;fail;fail;fail;fail;51315;13512;fail;3839;950;14517;65;24558;169;114;300;1332;1495;5852;387;346;46130;388;5834;1786;fail;489;fail;2484;1105;30834;1994;220;1122;7702;3575;107;1404;694;2844;153;149;2265;1616;615;2333;2573;578;2438
92;fail;315;fail;4759;86279;778;245;3430;13253;8757;1233;2995;fail;2403;16492;541;107;10969;fail;6477;361;930;1158;12357;1361;5033;295;566;2726;310;3434;2408;8875;305;237;18246;689;417;102;5395;2005;1648;613;1237;1869;1389;4346;1337
