;RLS-N2;EA4;pmut2.25
956;27314;11507;52050
957;27908;13425;191
958;10756;13918;42465
959;9216;4583;23393
960;27792;24185;12475
961;11974;69507;26440
962;2980;25602;3052
963;21737;13269;23412
964;5779;16608;12503
965;1896;21863;10099
966;21583;63774;38136
967;12375;758;60604
968;12135;138225;5152
969;8322;56708;17002
970;9421;1841;10519
971;7011;4618;2501
972;11744;14209;5948
973;5354;43727;340
974;2675;50034;7578
975;25727;6580;142939
976;15871;73715;34138
977;32746;97005;52133
978;12594;1471;30068
979;8416;63328;22516
980;69516;100858;14825
981;24261;9279;2027
982;3640;19939;56445
983;5253;19787;31302
984;20288;46530;27285
985;33644;50562;16526
986;7359;22458;18490
987;1357;4522;86718
988;3900;105642;13555
989;116688;27197;4875
990;8734;143319;75815
991;31818;17940;5611
992;8607;35668;1035
993;1443;28843;38946
994;4346;28420;19757
995;28640;60434;26662
996;2959;54622;23459
997;18271;30917;32494
998;17318;15647;44209
999;6261;43783;26327
1000;1530;28665;55902
1001;34713;7155;98647
1002;37899;39530;5601
1003;5464;5744;1846
1004;4926;15735;3456
1005;3649;33013;5262
1006;23039;13813;79816
1007;44995;4927;4178
1008;18091;24884;80915
1009;44699;25302;5619
1010;666;10668;2921
1011;62688;2310;1364
1012;14799;19073;33793
1013;36431;59359;45263
1014;2713;14000;21435
1015;2897;1320;4318
1016;6469;21387;77876
1017;4242;86719;34802
1018;21944;21837;51803
1019;9481;18331;27443
1020;8205;55993;2537
1021;1404;13921;12868
1022;5180;21929;11238
1023;3239;50941;11934
1024;11794;63152;9088
1025;6507;10579;92889
1026;3852;31179;92440
1027;38754;14937;7640
1028;12939;97363;23373
1029;12718;3900;26930
1030;10460;74316;56611
1031;1428;37203;15637
1032;25618;38490;277
1033;851;284;144
1034;59289;39933;22258
1035;26707;5155;55033
1036;32762;89884;83816
1037;9646;12107;10544
1038;17245;26766;75269
1039;733;7872;62784
1040;13853;75867;17878
1041;698;2145;10566
1042;18043;8558;1715
1043;85060;11989;38587
1044;11221;46308;17151
1045;2233;57911;24470
1046;18888;1908;37444
1047;19662;14586;16649
1048;22370;12947;9305
1049;6484;30616;3463
1050;11026;2800;12505
1051;40990;1998;42854
1052;16277;31784;5541
1053;3207;5192;29168
1054;41125;17586;81674
