id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
320;9;10;0,20;1000;0;0;0;1000;1,000
321;9;100;0,20;1000;0;7;0;801;0,801
322;9;1000;0,20;1000;8;92;58;0;0,000
323;9;10000;0,20;1000;759;971;870;0;0,000
324;9;100000;0,20;1000;9114;9868;9590;0;0,000
325;9;10;0,30;1000;0;1;0;996;0,996
326;9;100;0,30;1000;0;12;1;436;0,436
327;9;1000;0,30;1000;51;140;102;0;0,000
328;9;10000;0,30;1000;1195;1468;1348;0;0,000
329;9;100000;0,30;1000;13992;14874;14525;0;0,000
330;9;10;0,40;1000;0;1;0;998;0,998
331;9;100;0,40;1000;0;16;4;167;0,167
332;9;1000;0,40;1000;93;186;148;0;0,000
333;9;10000;0,40;1000;1702;1956;1841;0;0,000
334;9;100000;0,40;1000;18885;19825;19488;0;0,000
335;9;10;0,50;1000;0;1;0;993;0,993
336;9;100;0,50;1000;0;21;8;34;0,034
337;9;1000;0,50;1000;136;233;197;0;0,000
338;9;10000;0,50;1000;2159;2462;2334;0;0,000
339;9;100000;0,50;1000;23809;24808;24481;0;0,000
340;9;10;0,60;1000;0;2;0;984;0,984
341;9;100;0,60;1000;0;25;13;1;0,001
342;9;1000;0,60;1000;202;287;249;0;0,000
343;9;10000;0,60;1000;2682;2973;2839;0;0,000
344;9;100000;0,60;1000;29000;29843;29489;0;0,000
345;9;10;0,70;1000;0;2;0;922;0,922
346;9;100;0,70;1000;3;32;19;0;0,000
347;9;1000;0,70;1000;246;335;302;0;0,000
348;9;10000;0,70;1000;3204;3458;3350;0;0,000
349;9;100000;0,70;1000;34078;34827;34524;0;0,000
350;9;10;0,80;1000;0;4;0;718;0,718
351;9;100;0,80;1000;15;36;26;0;0,000
352;9;1000;0,80;1000;312;386;358;0;0,000
353;9;10000;0,80;1000;3730;3966;3869;0;0,000
354;9;100000;0,80;1000;39156;39848;39582;0;0,000
355;9;10;0,90;1000;0;5;1;192;0,192
356;9;100;0,90;1000;24;42;35;0;0,000
357;9;1000;0,90;1000;395;439;419;0;0,000
358;9;10000;0,90;1000;4301;4472;4400;0;0,000
359;9;100000;0,90;1000;44419;44878;44690;0;0,000
360;10;10;0,10;1000;0;1;0;999;0,999
361;10;100;0,10;1000;0;1;0;997;0,997
362;10;1000;0,10;1000;0;2;0;952;0,952
363;10;10000;0,10;1000;0;6;0;755;0,755
364;10;100000;0,10;1000;0;48;1;395;0,395
365;10;10;0,20;1000;0;0;0;1000;1,000
366;10;100;0,20;1000;0;1;0;995;0,995
367;10;1000;0,20;1000;0;2;0;925;0,925
368;10;10000;0,20;1000;0;9;0;657;0,657
369;10;100000;0,20;1000;0;59;2;293;0,293
370;10;10;0,30;1000;0;0;0;1000;1,000
371;10;100;0,30;1000;0;2;0;987;0,987
372;10;1000;0,30;1000;0;6;0;935;0,935
373;10;10000;0,30;1000;0;10;0;600;0,600
374;10;100000;0,30;1000;0;31;2;253;0,253
375;10;10;0,40;1000;0;0;0;1000;1,000
376;10;100;0,40;1000;0;1;0;994;0,994
377;10;1000;0,40;1000;0;5;0;910;0,910
378;10;10000;0,40;1000;0;39;0;583;0,583
379;10;100000;0,40;1000;0;54;2;238;0,238
380;10;10;0,50;1000;0;0;0;1000;1,000
381;10;100;0,50;1000;0;1;0;992;0,992
382;10;1000;0,50;1000;0;3;0;910;0,910
383;10;10000;0,50;1000;0;14;0;577;0,577
384;10;100000;0,50;1000;0;58;2;247;0,247
385;10;10;0,60;1000;0;1;0;999;0,999
386;10;100;0,60;1000;0;1;0;993;0,993
387;10;1000;0,60;1000;0;4;0;902;0,902
388;10;10000;0,60;1000;0;17;0;587;0,587
389;10;100000;0,60;1000;0;49;2;237;0,237
390;10;10;0,70;1000;0;0;0;1000;1,000
391;10;100;0,70;1000;0;1;0;989;0,989
392;10;1000;0,70;1000;0;7;0;905;0,905
393;10;10000;0,70;1000;0;22;0;591;0,591
394;10;100000;0,70;1000;0;42;2;267;0,267
395;10;10;0,80;1000;0;0;0;1000;1,000
396;10;100;0,80;1000;0;1;0;993;0,993
397;10;1000;0,80;1000;0;5;0;923;0,923
398;10;10000;0,80;1000;0;7;0;663;0,663
399;10;100000;0,80;1000;0;30;2;293;0,293
400;10;10;0,90;1000;0;1;0;997;0,997
401;10;100;0,90;1000;0;1;0;996;0,996
402;10;1000;0,90;1000;0;3;0;956;0,956
403;10;10000;0,90;1000;0;12;0;740;0,740
404;10;100000;0,90;1000;0;18;1;373;0,373
405;11;10;0,10;1000;0;0;0;1000;1,000
406;11;100;0,10;1000;0;1;0;999;0,999
407;11;1000;0,10;1000;0;32;12;70;0,070
408;11;10000;0,10;1000;274;459;378;0;0,000
409;11;100000;0,10;1000;4318;4836;4611;0;0,000
410;11;10;0,20;1000;0;0;0;1000;1,000
411;11;100;0,20;1000;0;4;0;957;0,957
