;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
538;81;10469;7;663;43;75;47;51
539;10539;99;26;471;3812;1196;19;197
540;158;3252;2272;61;56;2349;152;119
541;112;18;7838;6112;715;42;118;141
542;4478;65;30;3318;751;39;42;196
543;6125;6417;71;2233;4426;185;13;11
544;53;2981;2751;38;2621;25;103;32
545;47;1016;117;2062;81;33;46;22
546;147;9;2985;6214;1455;940;37;68
547;2185;641;5434;102;88;54;169;92
548;7465;1370;1534;51;1533;340;36;9
549;23;8033;31;960;843;11;13;20
550;134;45;1713;76;561;177;248;20
551;9309;21;55;2202;582;24;22;53
552;6317;1697;373;843;143;35;171;107
553;151;119;635;887;1727;28;38;38
554;3959;4651;963;593;2702;80;331;72
555;5748;3994;3263;827;1624;217;236;18
556;247;125;130;39;342;83;60;12
557;12331;7815;151;900;72;62;29;52
558;5323;88;2628;245;50;211;83;71
559;177;11955;15;130;4614;1327;57;40
560;7078;1618;16;119;38;2383;58;45
561;7438;2211;68;2557;1354;116;74;119
562;55;21;2313;41;2410;36;249;36
563;44;714;3153;55;40;34;41;65
564;12914;156;68;451;32;336;60;26
565;204;5660;96;91;12;1916;3;37
566;265;1218;3309;241;2135;38;17;30
567;341;3026;15;57;2821;31;18;34
568;12630;12494;6182;47;8;14;267;228
569;65;99;20;675;2209;144;11;29
570;333;736;2948;2241;47;448;20;86
571;40;1176;17;44;75;1;119;47
572;3329;53;7487;61;517;44;68;89
573;13088;84;31;38;496;81;34;159
574;131;12794;2200;16;429;46;201;25
575;58;6036;756;118;1698;33;37;73
576;3192;55;80;37;345;45;55;30
577;8636;3;2730;1176;17;41;233;98
578;28;2849;651;4122;93;118;86;9
579;7209;16;4291;12;35;22;384;46
580;9910;134;70;4373;29;801;30;52
581;148;10420;36;1111;54;2423;36;59
582;177;7814;542;598;32;2378;71;12
583;11348;40;1232;12;43;15;184;19
584;5632;66;1465;81;24;238;74;46
585;21;147;4965;3030;15;1157;34;168
586;177;23;105;1378;396;16;128;212
587;271;36;857;67;97;2;19;48
588;91;138;66;24;63;14;185;156
589;176;3458;17;874;21;501;24;121
590;94;5781;449;946;11;81;5;62
591;19;867;2851;47;694;902;9;6
592;105;62;fail;23;64;40;145;7
593;5913;814;9103;1522;87;59;4;314
594;31;1019;165;5;77;48;13;45
595;8528;214;832;1269;43;86;26;126
596;10149;2985;2869;1017;64;940;43;34
597;fail;60;2702;897;30;3237;19;288
598;fail;36;14;10;340;421;21;28
599;41;5704;138;2597;469;9;91;21
600;3040;4;68;131;327;41;38;80
601;264;59;1315;104;54;23;12;172
602;7379;2486;1444;28;755;67;25;183
603;2755;5694;69;72;37;1460;51;160
604;1007;1851;81;15;382;102;7;40
605;26;124;160;16;36;48;25;22
606;13675;138;162;29;3828;19;170;80
607;14;40;45;120;87;7;434;6
608;46;21;625;60;3150;5;335;77
609;126;19;489;115;3408;174;162;48
610;7371;72;41;55;45;36;47;62
611;3636;613;157;89;475;31;36;59
612;15623;3645;5218;671;927;18;24;52
613;5193;5698;142;6;2521;347;43;136
614;6722;5;1992;1341;2;971;15;102
615;5493;185;35;1253;23;116;14;182
616;46;847;331;158;2194;1626;281;148
617;32;fail;61;3910;1977;23;63;27
618;7787;66;91;54;22;31;149;59
619;1456;2385;2098;2303;1226;775;20;32
620;69;1120;4428;13;21;774;33;49
621;107;94;299;1517;93;42;30;6
622;10241;98;60;1413;0;874;32;31
623;86;1428;40;102;93;663;4;19
624;123;1423;6958;141;30;665;217;11
625;5993;2648;1316;32;62;103;150;27
626;150;195;949;1220;70;16;71;107
627;162;2810;23;91;2512;91;15;163
628;5336;59;1879;3812;356;1273;32;49
629;fail;214;2064;2104;160;1591;96;10
630;3618;69;111;2040;113;3640;39;11
631;fail;103;132;3363;31;16;54;115
632;229;fail;6703;622;1787;84;108;12
633;119;6101;69;2384;3;26;29;16
634;11353;248;1915;1565;24;183;13;74
635;10236;3841;116;5203;1385;37;144;24
636;267;37;2396;682;24;23;268;26
637;64;12;4705;2175;2847;1289;31;34
638;117;425;23;928;15;69;30;8
639;fail;26;76;480;541;254;149;34
640;240;267;77;48;23;396;48;22
641;198;2387;29;810;1329;469;14;86
642;45;33;2331;2180;7;14;15;47
643;4673;80;1776;73;1008;801;25;12
644;5292;2199;18;3013;126;17;36;32
645;154;4649;328;652;26;17;19;117
646;106;550;9;26;504;113;30;18
647;5522;398;1648;134;2763;39;46;12
648;108;949;4808;364;149;23;116;135
649;7034;81;1336;1165;458;58;104;39
650;8407;2467;84;147;4331;68;196;33
651;18;244;564;29;3422;1393;70;32
652;33;102;2651;88;30;504;7;71
653;4705;9125;124;98;2412;1578;193;12
654;524;102;131;149;262;662;35;167
655;960;127;100;64;1028;201;88;216
656;327;57;1344;85;70;43;30;51
657;32;67;5720;872;1718;196;14;110
658;fail;8693;121;11;800;104;187;120
659;3714;76;31;31;4;17;250;85
660;206;220;8;4172;72;11;18;26
661;144;48;4226;52;6;65;15;30
662;5854;32;17;2169;1432;927;13;2
663;118;121;62;48;39;36;37;9
664;3968;4074;82;7647;659;29;4;95
665;249;8;61;255;73;34;171;39
666;89;18;19;224;175;1484;83;179
667;12977;162;3186;1132;40;768;98;59
668;4742;5260;3790;3105;440;1049;46;88
669;6331;4021;21;22;40;50;209;31
670;fail;6251;1026;40;52;1491;59;113
