;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
240;2;20;10;12;19;3;20;19;9;3;112;41;220;11;26;3392;56;25;2230;121;23;20520;54;48
241;2;0;16;30;18;5;39;18;7;3;40;8;479;27;24;1605;78;27;33052;58;16;22964;466;12
242;21;9;0;10;17;7;2;45;15;136;28;15;1161;21;51;90;62;17;532;82;39;10280;18;165
243;2;7;14;3;13;0;98;56;18;725;13;55;9;22;8;12;44;81;1535;157;60;14559;888;13
244;7;10;3;34;5;3;49;13;15;37;21;1;575;52;43;843;18;59;2101;21;69;26298;49;50
245;20;0;2;7;10;10;41;7;6;390;18;2;287;13;15;71;14;120;4312;81;23;828;180;35
246;2;14;6;15;15;7;41;3;8;580;37;33;65;32;10;7283;25;17;44928;19;12;30991;86;24
247;17;1;7;55;2;14;42;35;3;1286;29;16;9;21;25;19;15;24;41;119;44;90;557;45
248;3;4;3;42;69;8;18;16;22;293;4;27;656;30;48;7;10;45;2087;22;93;31469;92;41
249;6;8;0;14;23;8;215;35;2;7;35;11;9;106;8;93;38;19;14164;97;11;66689;60;37
250;12;11;0;2;7;30;4;37;15;36;19;21;2460;0;23;4562;57;2;5118;46;99;93;150;82
251;55;2;2;9;16;4;130;32;2;14;15;27;83;31;18;923;40;15;2237;78;23;26312;49;110
