;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
514;92;6937;111;3011;775;118;27
515;88;5698;1393;8;35;117;6009
516;fail;6664;81;1093;40;645;2411
517;5175;8464;1789;1506;96;95;61
518;4577;461;13;137;76;4929;852
519;653;186;44;1101;8883;22;441
520;1898;9289;1592;354;5081;fail;6096
521;144;8;47;1116;54;6462;77
522;14;20988;73;12459;68;125;84
523;7;418;18;148;4255;6940;8
524;3679;4555;2210;2;47;343;90
525;fail;15801;1556;28;3342;148;96
526;41;4281;599;18466;9770;4648;119
527;5318;31012;521;118;45;79;438
528;298;7047;82;22297;52;7332;154
529;5898;27820;2841;3298;2693;7946;5339
530;fail;1666;13;87;58;518;824
531;9686;55;117;38;432;86;68
532;4341;906;6565;31;fail;103;8333
533;115;4922;463;2282;23;45;4236
534;94;39;6;95;177;140;28
535;95;102;4441;8052;60;141;8
536;161;6126;18;15;170;23;4584
537;3106;4240;42;1114;31;118;60
538;61;3;8;62;46;136;6052
539;7014;38;4180;14446;82;20;2242
540;30;35147;3633;477;10;24;32
541;fail;2195;33;82;180;148;5243
542;146;94;5771;666;1999;5878;116
543;38;3836;19;11221;125;27;3292
544;6984;89;2;21932;2071;49;4119
545;8153;85;40;5634;160;147;53
546;12;2;604;3586;3957;15;2818
547;4713;159;1235;3713;115;1550;465
548;29;78;2476;9575;5643;163;7416
549;4091;10455;23;8;fail;1937;54
550;109;11346;73;70;fail;61;141
551;77;18914;257;3862;866;118;55
552;14;10119;3079;12074;4340;209;25
553;18;17723;774;8480;2122;16;8
554;49;8376;59;2091;1190;36;94
555;3825;4385;43;23;4222;4792;68
556;662;17250;1640;18;11804;139;472
557;63;30242;88;3884;4423;24;8
558;171;3308;70;2495;125;14;795
559;fail;45;75;14143;3538;22;4242
560;71;2437;1449;13377;3417;138;29
561;1830;1720;53;1647;10105;3451;1997
562;286;25114;47;516;285;4;7023
563;5802;63;6409;2522;12449;4;296
564;50;4006;1298;7441;3034;121;353
565;194;4384;93;3487;101;182;139
566;5206;13197;45;1225;2845;149;1350
567;16;26210;3512;1179;54;16;96
568;66;14126;4021;13568;fail;2874;308
569;10;3683;10;1561;89;5527;99
570;131;3814;132;1558;6685;5300;3764
571;36;11422;48;43;30;3863;3236
572;1753;11218;530;3053;25;4712;53
573;4974;123;5;1642;1533;242;2033
574;1;101;1095;3680;68;6439;1981
575;11;17622;66;8045;1610;52;586
576;8255;7531;1471;4951;fail;2963;128
577;56;19908;4;3501;2702;1723;2846
578;fail;11373;49;1515;76;7270;3557
579;197;13940;2448;3742;306;fail;38
580;92;4325;7;496;451;3535;3352
581;444;51;193;3252;7968;43;5398
582;1789;41;2789;4284;137;5964;539
583;25;1292;5481;3809;943;23;4917
584;5445;1184;12;4387;569;69;2179
585;43;1629;21;125;155;142;38
586;8892;4858;131;1084;49;18;4491
587;28;14199;210;796;2475;10;45
588;9638;8580;594;52;394;50;12
589;60;25423;95;87;136;1875;968
590;122;117;49;52;20;124;1286
591;fail;102;36;335;11505;1206;232
592;15;184;51;93;20;29;34
593;5365;8281;5284;2445;12;114;278
594;68;23;360;1606;739;56;19
595;2567;10528;27;113;60;124;1563
596;198;89;62;23042;2120;113;993
597;fail;8929;580;158;1866;121;481
598;8387;1221;35;51;48;6049;2241
599;fail;28982;30;1314;12262;34;123
600;5373;22;73;7115;88;303;2184
601;69;3382;9047;25;3;54;1462
602;5121;109;1734;135;4608;704;127
603;10177;261;63;16347;3059;8205;88
604;136;35792;36;2705;11;865;97
605;fail;15760;27;5057;31;7;1977
606;fail;5086;55;6306;143;187;5602
607;152;3106;535;3228;158;2764;2205
608;86;7;17;1403;116;910;2814
609;130;2949;61;9269;77;8029;48
610;10515;8572;2950;2024;71;2259;23
611;2035;10;32;8837;10689;84;101
612;fail;2759;1242;972;2137;0;46
613;160;5632;74;3077;34;8134;47
614;9719;248;108;1595;9461;73;63
615;54;24970;3892;4105;2656;241;44
616;113;1161;837;4343;67;14;44
617;9620;44546;2340;21789;73;7329;5097
618;37;18;4748;289;1520;1927;8
619;768;27090;345;10638;27;207;98
620;5127;496;1065;4877;175;758;0
621;26;28540;12;92;66;75;2189
622;171;fail;6065;3899;425;2618;146
623;5;21;30;3235;3592;558;78
624;30;6472;3349;109;10651;102;3021
625;94;17096;2020;1123;66;3269;21
626;1034;29552;4844;12580;12;1043;1593
627;73;9136;31;1282;57;1277;0
628;28;11588;62;5242;2953;78;1136
629;17;3246;2650;1;142;59;11
630;6980;26805;24;6814;945;3734;10
631;55;144;80;51;110;631;6197
632;fail;4834;1637;797;1136;70;121
633;12;2882;9111;4928;11090;0;6127
634;26;10961;69;536;944;fail;1422
635;8659;132;1212;57;143;fail;108
636;fail;10055;4241;4;7425;43;174
637;52;8675;168;29;155;33;3320
638;86;14677;78;402;141;91;21
639;990;3909;505;58;7643;106;4395
640;fail;2068;6095;135;25;7850;1468
641;126;423;8;252;4176;10;89
642;128;9361;9;5605;23;220;3812
643;25;6000;62;1183;25;40;24
644;2551;23564;100;11;159;2127;505
645;9916;118;1703;9705;369;44;202
646;210;15627;1207;73;247;82;14
647;9124;8;2588;48;148;3;1454
