;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
479;6;150;533;822;201;165;53;6017;5474
480;13;90;37;16;53;102;129;1596;2
481;19;10;173;74;2460;75;47;41;3553
482;59;228;29;76;540;350;2608;5044;120
483;64;425;53;52;13;9;2949;16;755
484;35;228;101;47;88;4250;1833;44;1597
485;69;255;53;8;11;6;124;32;1252
486;23;89;41;292;29;40;2098;6224;32
487;16;59;82;54;36;78;55;161;587
488;37;459;367;348;15;5742;744;343;49
489;22;20;349;1813;978;70;213;63;52
490;48;298;1119;88;35;1614;744;32;5566
491;44;42;9;89;890;31;9923;791;83
492;33;34;268;39;53;37;213;46;7133
493;63;36;27;179;65;5692;8100;4821;5968
494;83;17;45;71;15;47;5503;1422;48
495;24;90;83;749;3108;35;2303;2861;4895
496;22;37;261;1423;3004;4229;67;1347;70
497;31;20;262;9;161;140;1373;35;784
498;26;30;6;814;550;1249;1813;2802;5459
499;37;60;41;84;1599;2997;140;6458;169
500;30;31;21;536;54;3005;126;1517;472
501;16;62;10;24;94;20;4920;179;112
502;18;0;27;155;108;2001;124;5176;1697
503;25;26;273;418;62;9312;4;33;34
504;17;196;383;570;3005;8374;2720;3313;fail
505;107;98;87;101;97;4177;93;22;fail
506;90;137;128;88;785;150;11396;2978;8293
507;190;40;44;1780;74;104;94;1;107
508;63;121;45;771;24;113;27;5368;1532
509;53;45;39;50;18;4909;49;4023;675
510;20;307;99;3120;130;3683;5430;7009;64
511;12;45;19;34;2113;2003;2818;20;139
512;32;34;434;13;66;1373;2492;66;57
513;19;77;125;151;2539;93;1446;82;41
514;19;46;67;35;22;4822;118;117;1665
515;24;53;385;1493;2104;3256;3690;10;69
516;31;52;61;2534;1421;6114;202;84;125
517;38;1;97;48;1584;66;71;21;39
518;76;14;11;2;2202;1247;75;4718;8735
519;27;20;47;46;83;104;44;12;40
520;25;73;32;80;667;147;11766;3259;2
521;28;18;273;17;4;58;3143;39;55
522;32;165;107;238;117;842;fail;4460;61
523;18;16;417;46;23;1503;8474;fail;118
524;67;13;306;683;1544;7665;4342;228;46
525;6;164;27;6;42;1054;99;5141;148
526;26;25;51;104;322;4321;3367;741;27
527;31;13;119;52;51;3811;137;68;58
528;26;42;385;13;54;3853;66;52;80
529;86;45;847;56;822;1032;71;3569;4241
530;27;25;54;560;1239;3606;175;174;9
531;62;58;23;102;97;110;68;fail;5867
532;21;43;23;18;27;3030;40;1753;4527
533;27;18;195;116;1081;97;38;4051;665
534;19;17;12;65;12;48;9337;59;4137
535;35;25;442;11;215;4220;4;71;61
536;46;112;44;75;32;99;4;117;1041
537;19;71;427;3097;36;9515;3319;1606;1953
538;4;146;65;381;3988;317;6229;63;69
539;75;79;19;620;67;599;184;2184;12
540;100;42;15;465;161;87;2990;4454;72
541;34;229;12;35;2424;2856;505;148;6440
542;69;21;149;89;373;40;1706;98;202
543;11;242;79;67;0;1208;86;1180;108
544;16;53;112;563;2584;11;638;42;83
545;10;122;129;2883;2553;47;42;56;16
546;33;38;151;2329;53;117;2502;1868;538
547;222;25;9;892;35;42;1612;83;39
548;156;24;245;577;150;2359;56;3617;10147
549;90;33;36;595;21;11;4656;1904;61
550;47;108;73;30;2536;32;149;144;204
551;37;9;539;1153;111;5016;2350;95;4345
552;56;133;59;550;7;86;923;2848;3168
553;50;26;184;90;67;69;103;1268;7577
554;29;68;1571;75;4489;57;1235;175;9642
555;53;221;915;97;3987;99;2231;605;5765
556;112;66;62;42;43;30;41;fail;89
557;12;60;31;788;30;4192;3592;2619;2392
558;25;25;2;510;262;5706;181;102;143
559;38;88;99;546;14;5686;142;6961;392
560;42;50;18;39;1004;917;16;88;64
561;33;35;35;30;8;799;4155;45;36
562;42;63;61;15;163;1550;4652;103;131
563;91;44;1349;792;175;1054;136;42;fail
564;32;247;57;39;14;1547;4383;2112;42
565;57;7;31;32;1020;29;5419;2824;5538
566;64;154;199;12;36;2247;106;28;7405
567;0;216;51;949;1213;39;215;130;120
568;59;72;527;1901;92;1132;7057;111;2483
569;54;10;44;1577;81;73;5005;5626;8165
570;34;43;33;751;26;37;76;9284;2380
571;11;42;32;2792;94;93;106;144;4888
572;14;96;626;31;10;117;2629;813;1796
573;7;51;161;59;2048;62;676;4792;11867
574;30;273;54;165;34;207;13;37;5061
575;89;193;225;114;89;1339;15;71;3779
576;41;11;43;40;2493;12;214;fail;722
577;53;124;86;1436;175;2041;6673;40;4063
578;50;23;50;45;19;19;100;2936;1765
579;132;39;82;33;1705;110;0;82;2651
580;26;50;139;1814;23;3;4589;128;36
581;88;22;220;142;50;fail;49;33;49
582;44;40;69;38;0;1642;10;4220;3376
583;125;90;9;11;16;2257;122;29;57
584;17;390;128;131;2487;63;492;482;55
585;114;14;17;40;77;2;2903;206;41
586;17;77;78;407;28;17;11;548;89
587;36;17;63;468;86;12;4085;151;60
588;34;7;90;1214;21;495;2151;146;119
589;14;50;94;56;874;1645;12;193;7659
590;22;149;117;52;3105;62;3885;86;30
591;33;197;180;1908;3892;16;48;19;4822
592;81;9;17;108;98;20;9545;1609;3902
593;41;19;32;5;1603;3794;19;231;253
594;84;18;298;48;151;7246;72;49;856
595;24;57;321;101;247;101;25;4090;3287
596;18;33;51;608;33;74;30;1700;55
597;19;94;97;524;1015;12;19;46;11683
598;52;60;245;63;42;1045;5493;0;324
599;7;46;36;349;7030;24;106;3783;10059
600;71;159;302;1627;19;141;6478;5292;11637
601;116;39;235;458;111;85;8;6117;40
602;49;26;82;743;2126;178;4612;28;4899
603;12;15;57;65;4188;2159;6419;111;2587
604;13;113;415;49;1210;460;156;4157;6
605;12;73;43;472;2260;81;4091;4065;36
606;31;9;45;913;3440;540;fail;7526;2757
607;135;98;431;760;1350;11;226;638;5186
608;70;67;55;653;117;1536;275;130;101
609;67;14;64;26;1982;20;39;161;fail
610;28;124;373;537;54;5485;2306;107;211
611;31;15;48;590;50;929;10;3030;7210
612;62;46;99;44;4816;59;83;6642;3334
613;27;38;49;46;21;99;3753;fail;2040
614;84;11;262;1309;2916;26;102;392;152
615;19;12;98;65;41;17;131;47;24
