;RLS;EA;pmut3.25
858;98165;269710;123167
859;68093;256499;178839
860;74735;168994;138676
861;103659;243194;132953
862;87273;235811;129403
863;79818;214222;128647
864;90183;265412;153483
865;86488;184875;181902
866;88398;230888;116730
867;83647;294661;118023
868;131993;168021;142155
869;150990;274615;127723
870;90713;233666;127847
871;97702;214724;154476
872;86296;203020;131760
873;83459;229933;120746
874;112566;256177;138684
875;98458;234298;114508
876;91996;162867;127470
877;94250;245530;130670
878;87145;170070;216376
879;90334;231036;140737
880;67664;255985;137188
881;107463;195600;181583
882;87771;191206;124333
883;79302;198173;146591
884;97377;254475;153855
885;75085;255670;144751
886;104292;254331;123134
887;87008;194134;153729
888;95260;209027;139505
889;81719;215160;121729
890;111366;252537;154128
891;89199;188487;135403
892;82937;310887;151509
893;78965;208098;135963
894;76377;317484;130935
895;91981;191841;127709
896;86909;212340;161506
897;91651;232297;114105
898;94673;227499;140244
899;89707;178743;172972
900;88472;215312;131403
901;109117;307895;105885
902;89897;185402;183862
903;87698;230897;149088
904;91867;210395;123479
905;88399;239856;149252
906;81672;227293;137021
907;78381;238363;158536
908;82659;211733;112973
909;82494;245514;118767
910;84980;211014;154394
911;79196;214974;126808
912;103137;222284;153981
913;80877;223593;136275
914;97840;238824;181412
915;101465;186470;134934
916;105772;248527;141864
917;72649;222652;131114
918;86659;264250;124598
919;103809;248927;123731
920;102661;237758;122242
921;104879;184570;158729
922;88411;235245;122971
923;85867;231215;145053
924;83338;227594;116202
925;107508;282995;161818
926;87874;244284;144141
927;84577;211672;137756
928;86018;205199;117053
929;78287;182451;136079
930;88818;248518;144809
931;105429;200091;121466
932;92487;230401;154657
933;82044;186017;134595
934;122667;203375;183337
935;98925;219991;137073
936;87930;263642;163522
937;108918;224129;127285
938;91865;226953;120754
939;77379;243201;193716
940;89220;206785;129803
941;73224;207924;169998
942;99853;255798;143145
943;73962;211402;167465
944;83303;169519;136781
945;78550;212782;144356
946;84175;228966;109526
947;97660;199230;142439
948;90665;164294;147425
949;95585;191881;150178
950;94876;278545;116037
951;89843;285150;135562
952;82362;192301;121082
953;86206;203034;167683
954;70830;236655;155068
955;118844;227742;137100
956;151628;223818;149110
957;75221;251847;189932
958;95427;238016;148319
959;71718;238024;110405
960;76037;233018;166762
961;94060;217565;125323
962;97628;213048;129358
963;94164;211435;132031
964;82647;212491;111801
965;120774;192991;115719
966;97936;200712;133643
967;87621;214823;115399
968;96862;186395;107308
969;95047;227843;140223
970;101247;261118;125049
971;91949;202235;140489
972;78371;220159;141664
973;78454;232895;134387
974;77119;201179;165677
975;84562;215720;140079
976;99535;256638;114364
977;81543;218676;124491
978;91312;255720;121876
979;74801;257400;147443
980;99975;215219;159013
981;89499;236499;145810
982;78327;212276;117312
983;88450;210002;141606
984;94584;232589;114457
985;78506;212577;140678
986;90467;241433;159117
987;88553;224709;176200
988;80195;314429;128322
989;95021;256116;123058
990;81996;331078;116475
991;75398;205707;124667
992;117820;215457;148063
993;92449;191853;139681
994;100743;223820;146597
995;119636;226563;132732
996;82275;217846;172913
997;77606;295383;139818
998;111429;220225;145370
999;80771;248453;149684
1000;109440;260406;152790
1001;77802;206040;143551
1002;75888;206269;115821
1003;95023;315344;157126
1004;91099;237408;121137
1005;92754;261608;105845
1006;85312;202746;121377
1007;104392;221812;137086
1008;81912;240756;127758
1009;83660;262862;134443
1010;133243;233400;121687
1011;76134;237163;143918
1012;90445;244176;130056
1013;84306;195153;136071
1014;76074;239056;150774
1015;86563;235097;187045
1016;90886;226980;105326
1017;116627;238724;128132
1018;79344;218852;160273
1019;96320;207382;140837
1020;68218;221069;132430
1021;98545;229922;174167
1022;113453;298073;128018
1023;96031;309436;141970
1024;83400;260423;163996
1025;83890;247167;141115
1026;74822;220075;131806
1027;95777;215946;147012
1028;78584;278204;122003
1029;106979;198515;141415
1030;79290;297761;133997
1031;109199;208669;145539
1032;89345;202571;135813
1033;106652;262550;132362
1034;105472;242310;165288
1035;132119;199489;144245
1036;90424;227735;151779
1037;89900;269006;133681
1038;81981;214564;114828
1039;147064;217961;166144
1040;80989;272054;195208
1041;113805;222905;160302
1042;100498;259781;146989
1043;94055;192266;139827
1044;83562;254468;149002
1045;92812;172197;141440
1046;104285;202642;122335
1047;113183;249706;226623
1048;99516;252110;154905
1049;73720;231209;133828
1050;82408;266496;151296
1051;101826;201173;119865
1052;92716;332490;139340
1053;80103;310834;165536
1054;81353;209174;195358
1055;92671;217585;159077
1056;91077;206408;118139
1057;87141;275975;115410
1058;98960;235762;135541
1059;126191;252394;133363
1060;100494;244744;136394
1061;113522;227192;130200
1062;86830;193880;149048
1063;95616;311773;160583
1064;90201;244849;121243
1065;69303;195481;124061
1066;100329;228986;166715
1067;86453;232270;124907
1068;83057;192723;138075
1069;99031;221669;222128
1070;118954;211901;138753
1071;103208;187858;120976
1072;88806;256720;139915
1073;94360;223403;123535
1074;78706;188706;130067
1075;95108;195496;154455
1076;85133;243670;170563
1077;127037;205282;129714
1078;99982;183729;198889
1079;90510;192363;131654
1080;66200;251574;131159
1081;75802;213714;124024
1082;106412;289349;153020
1083;80409;195906;135054
1084;84493;210855;140632
1085;84827;267970;152706
1086;77588;321523;121821
1087;105084;211820;188980
1088;91890;245099;142493
1089;93974;189537;141662
1090;100760;210131;131076
1091;110740;263410;154864
1092;83663;206681;135902
1093;86789;208425;149208
1094;73933;351523;137830
1095;143403;198842;130017
1096;86270;265502;119709
1097;108388;199008;151532
1098;86792;196987;123285
1099;76064;216000;129028
1100;129250;206959;150091
1101;96171;274084;121993
1102;114302;187227;148435
1103;74096;222830;169868
1104;72276;294877;127418
1105;87399;202102;124140
1106;82157;223070;164690
1107;86965;235334;143739
1108;83769;237700;112081
1109;76403;240795;150954
1110;86534;248273;144511
1111;109593;269857;197931
1112;84933;215903;138216
1113;92566;265201;131143
1114;108226;227987;149157
1115;78700;233507;186069
1116;85889;232766;151082
1117;86892;296868;137015
1118;88618;226447;123964
1119;79857;185087;250494
1120;93100;270157;138854
1121;82951;187693;136902
1122;93619;279532;141955
1123;109885;230055;183558
1124;99004;205278;123472
1125;123305;262910;145950
1126;98219;241428;131060
1127;87244;248251;147772
1128;94132;252248;125056
1129;91380;204535;144981
1130;99188;221123;137398
1131;99018;220908;192243
1132;86847;213050;151072
1133;95611;195321;129668
1134;82365;219085;127004
1135;92401;205288;152366
1136;87125;211719;117738
1137;93232;250710;133993
1138;76490;204716;161386
1139;86859;245476;128464
1140;86434;243295;136480
1141;96514;254644;147267
1142;77572;232776;132272
1143;76716;198965;118151
1144;83346;193463;150192
1145;95748;306462;170663
1146;118711;188685;155053
1147;80162;228855;127725
1148;91444;246554;131943
1149;81532;201496;166648
1150;103077;291654;172362
1151;91062;212360;154975
1152;73812;298825;136934
1153;76429;220538;141429
1154;79823;238017;173137
1155;130880;254498;117392
1156;90135;217388;122847
1157;99130;254854;180960
1158;81201;219061;143800
1159;103709;209120;125187
1160;98089;201140;145355
1161;61790;220739;192632
1162;110047;218175;168830
1163;118271;244282;139521
1164;104732;304442;164047
1165;99196;218764;156514
1166;95430;226426;144378
1167;74848;223243;136297
1168;81956;216466;130448
1169;125652;250427;125639
1170;89712;218808;121439
1171;89826;182888;139309
1172;83413;223730;135061
1173;89333;217241;156260
1174;85250;237264;156839
1175;73194;212187;148956
1176;109611;206433;144655
1177;75352;243349;148724
1178;91328;193943;145353
1179;81068;196787;146567
1180;76248;236979;178239
1181;86700;196451;144928
1182;107177;278427;122990
1183;81879;235697;162985
1184;91070;234867;143807
1185;93823;292309;129290
1186;69641;269990;136487
1187;80760;206018;159490
1188;101618;233356;155062
1189;85737;306139;143054
1190;80160;204770;152562
1191;118416;277603;144242
1192;88547;238866;136565
1193;105073;288119;130471
1194;77108;315895;157135
1195;77264;211043;138480
1196;113016;237713;152627
1197;101323;258191;140006
1198;116704;227220;112484
1199;87469;235187;188853
1200;90050;266440;146528
1201;101184;274724;157900
1202;74862;246545;124189
1203;109065;266530;123880
1204;78939;280906;134374
1205;89481;261552;157954
1206;104684;268205;152243
1207;82121;288721;121298
1208;98554;206204;131800
1209;98516;198941;160589
1210;84167;281263;218244
1211;89289;289516;132484
1212;83084;346162;164804
1213;87561;233922;126656
1214;89741;194820;178779
1215;93679;229998;163366
1216;146836;256867;115294
1217;77948;235525;126760
1218;76785;228415;131415
1219;98395;228301;143799
1220;89145;210911;114694
1221;109962;246652;145620
1222;83352;314230;124096
1223;90672;178847;122769
1224;81644;278418;206275
1225;91204;208823;135032
1226;95765;253210;164635
1227;91270;307122;152485
1228;97876;262676;132676
1229;93722;219013;140108
1230;90610;209582;120152
1231;81638;251195;172547
1232;81802;197514;178138
1233;104916;258334;145608
1234;92014;219017;158478
1235;75436;222612;112897
1236;97573;219055;133723
1237;76021;275737;149482
1238;72372;184251;162040
1239;88112;224340;161958
1240;106013;216267;135150
1241;98660;276187;168153
