;EA;EA2;EA3;EA4;EA5;EA10
464;205874;356008;399924;912979;fail;fail
465;334568;289854;523985;897217;fail;fail
466;198628;263421;391792;fail;fail;fail
467;219656;251939;571257;fail;fail;fail
468;256062;219840;525055;747682;fail;fail
469;219462;284314;542121;868483;fail;fail
470;231589;318120;377686;890112;fail;fail
471;269555;265815;666735;fail;fail;fail
472;283937;261238;501104;717483;fail;fail
473;244076;332012;482796;729440;fail;fail
474;209057;251579;506440;fail;fail;fail
475;247097;291921;511990;fail;fail;fail
476;234253;286481;466935;fail;fail;fail
477;274107;310407;497999;fail;fail;fail
478;247240;247076;436209;fail;fail;fail
479;222522;324011;510058;fail;fail;fail
480;223969;388023;496147;862937;fail;fail
481;224253;259706;538076;fail;fail;fail
482;265385;415835;407697;895739;fail;fail
483;199207;227763;440010;fail;fail;fail
484;217629;244748;427210;fail;fail;fail
485;229047;288632;527258;fail;fail;fail
486;264298;228429;394801;fail;fail;fail
487;226193;310803;448854;fail;fail;fail
488;258725;370684;420759;865222;fail;fail
489;268681;402365;480374;fail;fail;fail
490;279791;258900;445829;fail;fail;fail
491;198484;268821;624211;fail;fail;fail
492;237256;251626;409734;910318;fail;fail
493;217666;353198;464791;fail;fail;fail
494;208998;233586;433576;810566;fail;fail
495;216590;299567;467619;fail;fail;fail
496;196369;335706;434886;fail;fail;fail
497;271885;271759;516586;fail;fail;fail
498;203132;228417;434045;695528;fail;fail
499;213829;285739;409560;718444;fail;fail
500;225791;374543;469569;fail;fail;fail
501;259293;319292;526934;fail;fail;fail
502;213445;239881;441453;904334;fail;fail
503;279532;272907;440227;fail;fail;fail
504;225976;333309;508799;fail;fail;fail
505;241853;313285;432623;fail;fail;fail
506;201358;231799;449910;861502;fail;fail
507;413560;258566;538436;786307;fail;fail
508;200666;295478;342453;759647;fail;fail
509;241644;267699;399126;904242;fail;fail
510;235763;347030;444777;fail;fail;fail
511;229981;218767;443362;fail;fail;fail
512;224674;287772;522105;fail;fail;fail
513;242498;307027;519224;fail;fail;fail
514;156788;269659;582788;fail;fail;fail
515;226249;238336;417598;fail;fail;fail
516;232228;302974;554472;763134;fail;fail
517;220167;270367;414366;883967;fail;fail
518;178204;266306;861359;893098;fail;fail
519;270888;290851;562134;fail;fail;fail
520;340607;354042;567471;fail;fail;fail
521;268451;260322;635749;fail;fail;fail
522;258111;312933;586368;832702;fail;fail
523;215676;342568;521887;fail;fail;fail
524;200632;397957;466507;fail;fail;fail
