511;1104;3946;5146;3573;2033;350;24042;11041;2694
512;315;560;477;123;4728;747;10781;4290;fail
513;402;8269;788;4885;3923;9159;9494;13754;5474
514;933;1949;315;2243;588;3164;397;3894;4102
515;1864;6601;5414;993;5551;337;8575;5112;6799
516;300;566;6333;162;9673;4249;164;2007;2451
517;899;7121;8206;4919;10224;44;5513;669;7439
518;112;7051;276;7813;606;1128;4630;349;3952
519;961;159;13924;1368;4463;2342;3464;13631;66
520;402;806;1887;34457;2444;333;4444;893;3890
521;671;912;1976;204;5464;165;1192;2938;8376
522;fail;1419;2261;3998;2097;369;14628;15328;7622
523;fail;200;114;2110;20180;6225;1367;5020;25214
524;fail;4264;1915;1724;6160;11983;8845;7917;10649
525;fail;2393;4478;11084;1146;15;2148;4793;28242
